"","productTitle","previousPrice","currentPrice","remainingProduct"
"128","Nokia C2 Smartphone - 2GB RAM - 32GB ROM - 5MP Camera - 5.7 inch Display","৳8990","৳5490",NA
"129","Ultrapods Max True Wireless Headphones Earbuds - White","৳1000","৳399",NA
"130","Premium Quality HP 6VC299AA Polyester Classic Backpack - Black","৳1550","৳439",NA
"131","Xiaomi Lofans Cordless Steam Wireless Electric Iron - Purple","৳4350","৳2900",NA
"132","Kabir Premium Kishmish - 500gm","৳350","৳275",NA
"133","Vega V3 Pro Smartphone - 8MP Camera - 2GB RAM - 32GB ROM - 6.26 Inch Display - Blue","৳9990","৳3990",NA
"134","Jamuna J32SU5 Voice Control HD Android LED TV - 32 Inch - Golden with Wall Mount Free","৳26800","৳13999",NA
"135","2 In 1 Pin and Pach Smart Design Light Bulb Holder - Golden","৳150","৳112",NA
"136","Brightstar L10GG Plastic Bulb Holder - Golden","৳150","৳85",NA
"137","MyOne MY-EKX180 Electric Kettle - 1.8 Liter - Silver and Black","৳1397","৳710",NA
"138","Cotton Electric Hot Water Beg Multi Color","৳600","৳167",NA
"139","Air Freshener Spray Fresco (Jasmine) - 320ml","৳185","৳144",NA
"140","Edison TM6805 DC 3.5 Switch Power Bank - 10000mAh - Black","৳1290","৳575",NA
"141","Jbl M3 Mini Portable Bluetooth Speaker - Black","৳700","৳310",NA
"142","Set of 6 Pcs Meat Cutting Knife","৳2485","৳1320",NA
"143","Polyester Super Absorbent Non Slip Ellipse Floor and Bathing Mat","৳750","৳275",NA
"144","Geo R11 Feature Phone","৳2700","৳2199",NA
"145","Metal Extendable Self-Defense Stick with Bag","৳1500","৳578",NA
"146","Star Brand Cold Pressed Mustard Oil - 5 Liter","৳1750","৳930",NA
"147","Anti-theft Crossbody Bag for Men - Black","৳999","৳469",NA
"148","OLEVS 6898 Leather Analog Watch For Men - Black","৳1600","৳399",NA
"149","Brightstar One Gang Fan Regulator with Switch","৳200","৳106",NA
"150","Superlife Fat Burn Weight Management - 33gm","৳1000","৳649",NA
"151","National Deluxe Heavy Duty Exhaust Fan - 12 Inch - White","৳1950","৳975",NA
"152","Electric Automatic Yogurt Maker - 1 Liter - Pink and Silver - SN41","৳1090","৳525",NA
"153","Xiaomi Beard Trimmer 2C for Men - Blue","৳2300","৳1998",NA
"154","SERA Coriander Powder - 200gm","৳105","৳91",NA
"155","KASHFUL LED Light - 20 Watt - White","৳420","৳144",NA
"156","Skmei 1842 Digital Watch for Men - Black","৳1250","৳430",NA
"157","Xiaomi Mi 4A AC1200 Dual Band Router (Global Version)","৳1850","৳1490",NA
"158","Prabhuji Elaichi Smooth and Soft Soan Papdi - 450gm","৳400","৳264",NA
"159","SERA Turmeric Powder - 200gm","৳130","৳96",NA
"160","Annex Fuel Octane Booster For Bike - 30ml","৳50","৳45",NA
"161","Super Star C 25A SP Circuit Breaker - White","৳230","৳163",NA
"162","Super Star C 6A SP Circuit Breaker - White","৳232","৳163",NA
"163","Wall Mount or Wall Bracket For 14 to 42 Inch LCD or LED TV","৳240","৳102",NA
"164","Fresco Lemon Air Freshener 300Ml","৳185","৳147",NA
"165","3 In 1 Travel Set - Neck Pillow, Eye Mask and Ear Plug","৳250","৳129",NA
"166","OLEVS 6898 Leather Analog Watch For Men - Black","৳1300","৳407",NA
"167","OLEVS 6898 Leather Analog Watch For Men - Brown And White","৳1600","৳399",NA
"168","Getsun Multi-Purpose Foam Cleaner - 650ML","৳340","৳278",NA
"169","Samsung Galaxy S21 FE 5G Smart Phone - 8GB RAM - 128GB ROM - 32MP Camera - 6.4 Inch Display","৳86999","৳70199",NA
"170","Samsung Galaxy A52s 5G Smart Phone - 8GB RAM - 128GB ROM - 64MP Camera - 6.5 Inch Display","৳61999","৳53199",NA
"171","Artificial Leather Shoulder Bag For Women - Multicolor - EF105","৳1250","৳831",NA
"172","Artificial Leather Shoulder Bag For Women - Multicolor - EF104","৳1250","৳831",NA
"173","Artificial Leather Shoulder Bag For Women - Multicolor - EF103","৳1250","৳831",NA
"174","Artificial Leather Shoulder Bag For Women - Multicolor - EF102","৳1250","৳831",NA
"175","Artificial Leather Shoulder Bag For Women - Multicolor - EF101","৳1250","৳831",NA
"176","PU Leather Shoulder Bag For Women - Pink - EF100","৳850","৳682",NA
"177","PU Leather Shoulder Bag For Women - Coffee - EF099","৳850","৳682",NA
"178","PU Leather Shoulder Bag For Women - Purple - EF098","৳850","৳682",NA
