sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8629,Mazda,Mazda3    ,JP,Yekaterinburg,gasoline,manual,FWD,250000,150,2,20,550000
8630,Kia,Ceed    ,KR,Yekaterinburg,gasoline,automatic,FWD,54500,130,1.6,6,1700000
8631,Toyota,Avensis    ,JP,Yekaterinburg,gasoline,automatic,FWD,91500,147,2,16,1499000
8632,Nissan,Almera    ,JP,Yekaterinburg,gasoline,automatic,FWD,208000,102,1.6,11,570000
8633,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,264000,81,1.6,19,174900
8634,Opel,Astra    ,DE,Yekaterinburg,diesel,manual,FWD,187000,110,1.7,13,1100000
8635,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,219000,80,1.6,17,189000
8636,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,217000,148,2,11,1850000
8637,Lifan,Solano    ,CN,Yekaterinburg,gasoline,manual,FWD,26000,133,1.8,6,970000
8638,Peugeot,308,FR,Yekaterinburg,gasoline,manual,FWD,237000,120,1.6,16,580000
8639,Mitsubishi,Outlander    ,JP,Yekaterinburg,diesel,manual,4WD,253986,140,2,16,799000
8640,Lada,2110,RUS,Rostov-on-Don,gasoline,manual,FWD,280000,70,1.5,27,75000
8641,Hyundai,i20    ,KR,Yekaterinburg,gasoline,automatic,FWD,14,100,1.4,1,2220000
8642,Mercedes-Benz,GLE    ,DE,Yekaterinburg,diesel,automatic,4WD,170000,245,2,5,6200000
8643,Kia,Sportage    ,KR,Yekaterinburg,gasoline,automatic,4WD,142000,150,2,5,2300000
8644,Mercedes-Benz,S-Class    ,DE,Yekaterinburg,diesel,automatic,4WD,179000,249,3,10,3350000
8645,Datsun,on-DO    ,JP,Yekaterinburg,gasoline,manual,FWD,78000,87,1.6,6,616616
8646,Lada,2110,RUS,Samara,gasoline,manual,FWD,208000,92,1.5,24,96890
8647,Land Rover,Rover Range Rover Sport ,UK,Yekaterinburg,diesel,automatic,4WD,199800,249,3,9,3455000
8648,Toyota,Land Cruiser   ,JP,Yekaterinburg,diesel,automatic,4WD,198170,249,4.5,7,6095000
8649,Skoda,Superb    ,CZ,Yekaterinburg,gasoline,automatic,FWD,215000,152,1.8,12,1105999
8650,BMW,5-Series    ,DE,Yekaterinburg,diesel,automatic,4WD,51585,190,2,6,3725000
8651,Kia,K5    ,KR,Yekaterinburg,gasoline,automatic,FWD,85000,150,2,4,2475999
8652,Hyundai,ix35    ,KR,Yekaterinburg,gasoline,manual,FWD,236711,150,2,11,1229999
8653,Hyundai,Solaris    ,KR,Yekaterinburg,gasoline,automatic,FWD,143298,123,1.6,13,865000
8654,Renault,Duster    ,FR,Yekaterinburg,diesel,manual,4WD,149000,90,1.5,11,989999
8655,Renault,Sandero    ,FR,Yekaterinburg,gasoline,manual,FWD,230000,82,1.6,7,749000
8656,Audi,A4    ,DE,Yekaterinburg,gasoline,CVT,FWD,139500,170,1.8,11,1650999
8657,Kia,Sorento    ,KR,Yekaterinburg,gasoline,automatic,4WD,100000,188,2.4,7,2550999
